"EICHERMOT" SE LTP=2561.95  RSI=41.46263910969787  SUPERTEND=2566.336355555555 down MACD= Cross-Over above line TIMESTAMP=2020-12-07 15:27:18.751363
"ICICIGI" SE LTP=1444.95  RSI=25.55498193082076  SUPERTEND=1452.282486031666 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:19.228225
"IDFCFIRSTB" SE LTP=36.8  RSI=44.0677966101694  SUPERTEND=37.13599454287415 down MACD= Cross-Over above line TIMESTAMP=2020-12-07 15:27:19.437934
"POWERGRID" SE LTP=193.55  RSI=38.418079096045204  SUPERTEND=195.2983215918666 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:21.188005
"ACC" SE LTP=1658.75  RSI=23.934181002243733  SUPERTEND=1666.1493333333333 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:22.635874
"ULTRACEMCO" SE LTP=5063.4  RSI=44.53333333333331  SUPERTEND=5112.713490742572 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:25.087991
"COFORGE" SE LTP=2455.95  RSI=43.424825891028156  SUPERTEND=2475.8965195041214 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:25.221903
"MGL" SE LTP=1039.95  RSI=44.42687747035575  SUPERTEND=1043.7593462351715 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:25.928653
"AMBUJACEM" SE LTP=253.1  RSI=28.508771929824732  SUPERTEND=254.5300325925926 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:38.913334
"BEL" SE LTP=114.95  RSI=33.98692810457513  SUPERTEND=115.79279470529492 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:39.224443
"ACC" SE LTP=1660.55  RSI=24.4736842105262  SUPERTEND=1666.1493333333333 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:39.550780
"ASHOKLEY" SE LTP=95.2  RSI=39.86928104575156  SUPERTEND=95.86680823572016 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:40.122719
"BAJAJFINSV" SE LTP=9051.95  RSI=41.05418927489263  SUPERTEND=9083.576 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:40.282127
"AMARAJABAT" SE LTP=918.9  RSI=44.186046511627886  SUPERTEND=924.73302294738 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:40.989836
"APOLLOTYRE" SE LTP=188.25  RSI=43.843843843843786  SUPERTEND=188.65 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 15:31:42.301964
"BERGEPAINT" Might-Give-A-LE-Signal LTP=672.2  RSI=57.263751763046706  SUPERTEND=667.1760561690064 up MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:42.539369
"TATAMOTORS" SE LTP=183.55  RSI=30.666666666666742  SUPERTEND=185.1682145036525 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:44.831776
"TORNTPOWER" SE LTP=324.2  RSI=41.90871369294605  SUPERTEND=326.2394746240878 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:45.102039
"BAJAJFINSV" SE LTP=9051.95  RSI=41.05418927489263  SUPERTEND=9083.576 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:45.591371
"TATAPOWER" SE LTP=71.65  RSI=41.216216216216225  SUPERTEND=72.62406321331406 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:46.094787
"AMARAJABAT" SE LTP=918.9  RSI=44.186046511627886  SUPERTEND=924.73302294738 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:48.374706
"MOTHERSUMI" SE LTP=159.2  RSI=41.8502202643171  SUPERTEND=160.63765928120714 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:50.291512
"EICHERMOT" SE LTP=2561.15  RSI=41.25276811135717  SUPERTEND=2566.336355555555 down MACD= Cross-Over above line TIMESTAMP=2020-12-07 15:31:51.963472
"BERGEPAINT" LE LTP=672.2  RSI=57.263751763046706  SUPERTEND=667.1760561690064 up MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:52.632294
"DLF" LE LTP=208.15  RSI=60.679611650485455  SUPERTEND=205.4195763565668 up MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:53.375370
"TCS" Might-Give-A-LE-Signal LTP=2737.7  RSI=62.78342455042999  SUPERTEND=2724.6994571137207 up MACD= Cross-Over below line TIMESTAMP=2020-12-07 15:31:53.860397
"COFORGE" SE LTP=2455.7  RSI=43.33605887162703  SUPERTEND=2475.8965195041214 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:54.128816
"POWERGRID" SE LTP=193.5  RSI=38.2022471910112  SUPERTEND=195.3583215918666 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:54.865640
"AMBUJACEM" SE LTP=253.1  RSI=28.508771929824732  SUPERTEND=254.5300325925926 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:55.571215
"HINDPETRO" SE LTP=216.7  RSI=38.58520900321544  SUPERTEND=218.06783109337724 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:31:55.829835
